Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Buka Web Demo Katalon,Chrome 134.0.6998.89,,,13-03-2025 12:55:16,13-03-2025 12:55:38,22.259s,PASSED
,,,,,,,
Test Cases/POSITIVE - Buka Web,Chrome 134.0.6998.89,,,13-03-2025 12:55:16,13-03-2025 12:55:22,5.415s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,13-03-2025 12:55:16,13-03-2025 12:55:19,2.406s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 134.0.6998.89,,,13-03-2025 12:55:19,13-03-2025 12:55:22,2.966s,PASSED
,,,,,,,
Test Cases/POSITIVE - Login Berhasil,Chrome 134.0.6998.89,,,13-03-2025 12:55:22,13-03-2025 12:55:32,10.499s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,13-03-2025 12:55:22,13-03-2025 12:55:23,0.954s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 134.0.6998.89,,,13-03-2025 12:55:23,13-03-2025 12:55:25,2.619s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 134.0.6998.89,,,13-03-2025 12:55:25,13-03-2025 12:55:26,0.660s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 134.0.6998.89,,,13-03-2025 12:55:26,13-03-2025 12:55:27,0.827s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 134.0.6998.89,,,13-03-2025 12:55:27,13-03-2025 12:55:27,0.308s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 134.0.6998.89,,,13-03-2025 12:55:27,13-03-2025 12:55:28,0.828s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 134.0.6998.89,,,13-03-2025 12:55:28,13-03-2025 12:55:29,1.020s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 134.0.6998.89,,,13-03-2025 12:55:29,13-03-2025 12:55:29,0.280s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 134.0.6998.89,,,13-03-2025 12:55:29,13-03-2025 12:55:30,0.283s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_13""))",Chrome 134.0.6998.89,,,13-03-2025 12:55:30,13-03-2025 12:55:30,0.504s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""test"")",Chrome 134.0.6998.89,,,13-03-2025 12:55:30,13-03-2025 12:55:31,0.729s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 134.0.6998.89,,,13-03-2025 12:55:31,13-03-2025 12:55:31,0.589s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 134.0.6998.89,,,13-03-2025 12:55:31,13-03-2025 12:55:32,0.845s,PASSED
,,,,,,,
Test Cases/NEGATIVE - Password salah,Chrome 134.0.6998.89,,,13-03-2025 12:55:32,13-03-2025 12:55:38,6.228s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,13-03-2025 12:55:32,13-03-2025 12:55:33,0.904s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 134.0.6998.89,,,13-03-2025 12:55:33,13-03-2025 12:55:36,2.750s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 134.0.6998.89,,,13-03-2025 12:55:36,13-03-2025 12:55:37,0.632s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""anggatrinugraha"")",Chrome 134.0.6998.89,,,13-03-2025 12:55:37,13-03-2025 12:55:37,0.835s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""8SQVv/p9jVRYfSV/eMGvjg=="")",Chrome 134.0.6998.89,,,13-03-2025 12:55:37,13-03-2025 12:55:38,0.271s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 134.0.6998.89,,,13-03-2025 12:55:38,13-03-2025 12:55:38,0.806s,PASSED
