Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"Add, Remove, dan Payment Cart",Chrome 134.0.6998.89,,,14-03-2025 15:29:11,14-03-2025 15:29:38,26.741s,PASSED
,,,,,,,
Test Cases/POSITIVE - Add Cart,Chrome 134.0.6998.89,,,14-03-2025 15:29:11,14-03-2025 15:29:19,7.653s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,14-03-2025 15:29:11,14-03-2025 15:29:13,1.730s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 134.0.6998.89,,,14-03-2025 15:29:13,14-03-2025 15:29:14,0.886s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 134.0.6998.89,,,14-03-2025 15:29:14,14-03-2025 15:29:16,2.112s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 134.0.6998.89,,,14-03-2025 15:29:16,14-03-2025 15:29:16,0.309s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:16,14-03-2025 15:29:16,0.304s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Add to cart""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:16,14-03-2025 15:29:17,0.494s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_1""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:17,14-03-2025 15:29:17,0.490s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Continue Shopping""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:17,14-03-2025 15:29:18,0.509s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Open Menu""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:18,14-03-2025 15:29:18,0.492s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_Logout""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:18,14-03-2025 15:29:19,0.275s,PASSED
,,,,,,,
Test Cases/POSITIVE - Remove Cart,Chrome 134.0.6998.89,,,14-03-2025 15:29:19,14-03-2025 15:29:27,8.084s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,14-03-2025 15:29:19,14-03-2025 15:29:20,1.000s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 134.0.6998.89,,,14-03-2025 15:29:20,14-03-2025 15:29:20,0.527s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 134.0.6998.89,,,14-03-2025 15:29:20,14-03-2025 15:29:22,2.062s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 134.0.6998.89,,,14-03-2025 15:29:22,14-03-2025 15:29:23,0.276s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Keys.chord(ENTER))",Chrome 134.0.6998.89,,,14-03-2025 15:29:23,14-03-2025 15:29:23,0.282s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Add to cart""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:23,14-03-2025 15:29:23,0.488s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Remove""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:23,14-03-2025 15:29:24,0.477s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Add to cart_1""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:24,14-03-2025 15:29:24,0.483s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Add to cart""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:24,14-03-2025 15:29:25,0.478s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_2""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:25,14-03-2025 15:29:25,0.493s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Continue Shopping""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:25,14-03-2025 15:29:26,0.497s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Remove""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:26,14-03-2025 15:29:26,0.504s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Remove_1""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:26,14-03-2025 15:29:27,0.480s,PASSED
,,,,,,,
Test Cases/POSITIVE - Payment Web Saucedemo,Chrome 134.0.6998.89,,,14-03-2025 15:29:27,14-03-2025 15:29:38,10.885s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,14-03-2025 15:29:27,14-03-2025 15:29:28,0.970s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 134.0.6998.89,,,14-03-2025 15:29:28,14-03-2025 15:29:29,1.463s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 134.0.6998.89,,,14-03-2025 15:29:29,14-03-2025 15:29:31,1.971s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 134.0.6998.89,,,14-03-2025 15:29:31,14-03-2025 15:29:31,0.279s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:31,14-03-2025 15:29:32,0.298s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Add to cart""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:32,14-03-2025 15:29:32,0.494s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Add to cart_1""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:32,14-03-2025 15:29:33,0.484s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_2""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:33,14-03-2025 15:29:33,0.488s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Checkout""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:33,14-03-2025 15:29:34,0.473s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Checkout Your Information_firstName""), ""angga"")",Chrome 134.0.6998.89,,,14-03-2025 15:29:34,14-03-2025 15:29:34,0.750s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Checkout Your Information_lastName""), ""trinugraha"")",Chrome 134.0.6998.89,,,14-03-2025 15:29:34,14-03-2025 15:29:35,0.734s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Checkout Your Information_postalCode""), ""16451"")",Chrome 134.0.6998.89,,,14-03-2025 15:29:35,14-03-2025 15:29:36,0.734s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Swag Labs/input_Cancel_continue""), 0)",Chrome 134.0.6998.89,,,14-03-2025 15:29:36,14-03-2025 15:29:36,0.468s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Cancel_continue""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:36,14-03-2025 15:29:37,0.297s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Finish""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:37,14-03-2025 15:29:37,0.480s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Back Home""))",Chrome 134.0.6998.89,,,14-03-2025 15:29:37,14-03-2025 15:29:38,0.456s,PASSED
